strlen,end,grammar
2,ti,.3p.$.sg.$.pres.
2,nti,.3p.$.pl.$.pres.
2,te,.3p.$.sg.$.pres.
2,nte,.3p.$.pl.$.pres.
2,re,.3p.$.pl.$.pres.
2,ssati,.3p.$.sg.$.fut.
2,ssanti,.3p.$.pl.$.fut.
2,ssate,.3p.$.sg.$.fut.
2,ssante,.3p.$.pl.$.fut.
2,ssare,.3p.$.pl.$.fut.
2,tu,.3p.$.sg.$.imp.
2,ntu,.3p.$.pl.$.imp.
2,taṃ,.3p.$.sg.$.imp.
2,ntaṃ,.3p.$.pl.$.imp.
3,eyya,.3p.$.sg.$.opt.
3,eyyuṃ,.3p.$.pl.$.opt.
3,etha,.3p.$.sg.$.opt.
3,eraṃ,.3p.$.pl.$.opt.
2,sā,.3p.$.sg.$.cond.
2,ssa,.3p.$.sg.$.cond.
2,ssati,.3p.$.sg.$.cond.
2,ssaṃsu,.3p.$.pl.$.cond.
2,ssatha,.3p.$.sg.$.cond.
2,ssiṃsu,.3p.$.pl.$.cond.
3,issati,.3p.$.sg.$.fut.
3,issanti,.3p.$.pl.$.fut.
3,issate,.3p.$.sg.$.fut.
3,issante,.3p.$.pl.$.fut.
3,issare,.3p.$.pl.$.fut.
3,i,.3p.$.sg.$.aor.
3,ī,.3p.$.sg.$.aor.
3,ā,.3p.$.sg.$.aor.
3,iṃsu,.3p.$.pl.$.aor.
3,ṃ,.3p.$.pl.$.aor.
3,uṃū,.3p.$.pl.$.aor.
3,ā,.3p.$.sg.$.aor.
3,a,.3p.$.sg.$.aor.
3,tthuṃ,.3p.$.pl.$.aor.
3,atthuṃ,.3p.$.pl.$.aor.
2,si,.3p.$.sg.$.aor.
2,sī,.3p.$.sg.$.aor.
2,sā,.3p.$.sg.$.aor.
2,siṃsu,.3p.$.pl.$.aor.
2,sṃ,.3p.$.pl.$.aor.
2,suṃū,.3p.$.pl.$.aor.
2,sā,.3p.$.sg.$.aor.
2,sa,.3p.$.sg.$.aor.
2,stthuṃ,.3p.$.pl.$.aor.
2,satthuṃ,.3p.$.pl.$.aor.
2,mi,.1p.$.sg.$.pres.
2,ma,.1p.$.pl.$.pres.
2,e,.1p.$.sg.$.pres.
2,mhe,.1p.$.pl.$.pres.
2,mahe,.1p.$.pl.$.pres.
2,mha,.1p.$.pl.$.pres.
2,mase,.1p.$.pl.$.pres.
2,mhase,.1p.$.pl.$.pres.
2,ssāmi,.1p.$.sg.$.fut.
2,ssāma,.1p.$.pl.$.fut.
2,ssaṃ,.1p.$.sg.$.fut.
2,ssāmhe,.1p.$.pl.$.fut.
2,ssāmase,.1p.$.pl.$.fut.
2,mi,.1p.$.sg.$.imp.
2,ma,.1p.$.pl.$.imp.
3,e,.1p.$.sg.$.imp.
3,āmase,.1p.$.pl.$.imp.
3,eyyāmi,.1p.$.sg.$.opt.
3,eyyāma,.1p.$.pl.$.opt.
3,eyyaṃ,.1p.$.sg.$.opt.
3,eyyāmhe,.1p.$.pl.$.opt.
2,ssa,.1p.$.sg.$.cond.
2,ssamhā,.1p.$.pl.$.cond.
2,ssaṃ,.1p.$.sg.$.cond.
2,ssāmhase,.1p.$.pl.$.cond.
3,issāmi,.1p.$.sg.$.fut.
3,issāma,.1p.$.pl.$.fut.
3,issaṃ,.1p.$.sg.$.fut.
3,issāmhe,.1p.$.pl.$.fut.
3,issāmase,.1p.$.pl.$.fut.
3,iṃ,.1p.$.sg.$.aor.
3,aṃ,.1p.$.sg.$.aor.
3,ṃ,.1p.$.sg.$.aor.
3,a,.1p.$.sg.$.aor.
3,ā,.1p.$.sg.$.aor.
3,imha,.1p.$.pl.$.aor.
3,imhā,.1p.$.pl.$.aor.
3,a,.1p.$.sg.$.aor.
3,imhe,.1p.$.pl.$.aor.
2,siṃ,.1p.$.sg.$.aor.
2,saṃ,.1p.$.sg.$.aor.
2,sṃ,.1p.$.sg.$.aor.
2,sa,.1p.$.sg.$.aor.
2,sā,.1p.$.sg.$.aor.
2,simha,.1p.$.pl.$.aor.
2,simhā,.1p.$.pl.$.aor.
2,sa,.1p.$.sg.$.aor.
2,simhe,.1p.$.pl.$.aor.
2,si,.2p.$.sg.$.pres.
2,tha,.2p.$.pl.$.pres.
2,se,.2p.$.sg.$.pres.
2,vhe,.2p.$.pl.$.pres.
2,ssasi,.2p.$.sg.$.fut.
2,ssatha,.2p.$.pl.$.fut.
2,ssase,.2p.$.sg.$.fut.
2,ssavhe,.2p.$.pl.$.fut.
2,hi,.2p.$.sg.$.imp.
2,ta,.2p.$.pl.$.imp.
2,ssu,.2p.$.sg.$.imp.
2,vho,.2p.$.pl.$.imp.
3,eyyāsi,.2p.$.sg.$.opt.
3,eyyātha,.2p.$.pl.$.opt.
3,etho,.2p.$.sg.$.opt.
3,eyyavho,.2p.$.pl.$.opt.
2,se,.2p.$.sg.$.cond.
2,ssa,.2p.$.sg.$.cond.
2,ssasi,.2p.$.sg.$.cond.
2,ssatha,.2p.$.pl.$.cond.
2,ssase,.2p.$.sg.$.cond.
2,ssavhe,.2p.$.pl.$.cond.
3,issasi,.2p.$.sg.$.fut.
3,issatha,.2p.$.pl.$.fut.
3,issase,.2p.$.sg.$.fut.
3,issavhe,.2p.$.pl.$.fut.
3,i,.2p.$.sg.$.aor.
3,o,.2p.$.sg.$.aor.
3,ā,.2p.$.sg.$.aor.
3,ttha,.2p.$.pl.$.aor.
3,se,.2p.$.sg.$.aor.
3,vhaṃ,.2p.$.pl.$.aor.
2,si,.2p.$.sg.$.aor.
2,so,.2p.$.sg.$.aor.
2,sā,.2p.$.sg.$.aor.
2,sttha,.2p.$.pl.$.aor.
2,sse,.2p.$.sg.$.aor.
2,svhaṃ,.2p.$.pl.$.aor.
