id,word,type,grammar,mean
1,_formula_,,.1p.$.pl.$.aor.,"{我们}${吾等}/{曾}~$~{完了}$~{了}$~{过}"
2,_formula_,,.1p.$.pl.$.cond.,"{我们若}~${如果我们}~${若我们}~${我们如果}~"
3,_formula_,,.1p.$.pl.$.fut.,"{我们将}~${我们会}~${我们将要}~${让我们}~${请我们}~"
4,_formula_,,.1p.$.pl.$.imp.,"{我们}${吾等}/{来}~${来}~{啊}${请}~${可以}~${去}~{啊}"
5,_formula_,,.1p.$.pl.$.opt.,"{我们}${吾等}/{应}~${愿}~${想}~${必须}~${不得不}~${该}~${应该}~"
6,_formula_,,.1p.$.pl.$.pres.,"{我们}${吾等}/~${在}~{呢}${正}~${正在}~"
7,_formula_,,.1p.$.sg.$.aor.,"{我}/{曾}~$~{完了}$~{了}$~{过}${曾}~{过}"
8,_formula_,,.1p.$.sg.$.cond.,"{我若}~${如果我}~${若我}~${我如果}~"
9,_formula_,,.1p.$.sg.$.fut.,"{我将}~${我会}~${我要}~${我将要}~"
10,_formula_,,.1p.$.sg.$.imp.,"{让我}~${请我}~${我来}~${我来}~{啊}${我请}~${我可以}~${我去}~{啊}${我去}~"
11,_formula_,,.1p.$.sg.$.opt.,"{我}/{应}~${愿}~${想}~${必须}~${不得不}~${该}~${应该}~"
12,_formula_,,.1p.$.sg.$.pres.,"{我}/~${在}~{呢}${正}~${正在}~"
13,_formula_,,.2p.$.pl.$.aor.,"{你们}${您}${大家}${汝等}/{曾}~$~{完了}$~{了}$~{过}${曾}~{过}"
14,_formula_,,.2p.$.pl.$.cond.,"{你们}${您}${大家}${汝等}/{如果}$~{若}~"
15,_formula_,,.2p.$.pl.$.fut.,"{你们}${您}${大家}${汝等}/{将}~${会}~${要}~${将要}~"
16,_formula_,,.2p.$.pl.$.imp.,"{让}${请}/{你们}~${您}~${大家}~${汝等}~"
17,_formula_,,.2p.$.pl.$.imp.,"{你们}${您}${大家}${汝等}/{来}~${来}~{啊}${请}~${可以}~${去}~{啊}${去}~"
18,_formula_,,.2p.$.pl.$.opt.,"{你们}${您}${大家}${汝等}/{应}~${愿}~${想}~${必须}~${不得不}~${该}~${应该}~"
19,_formula_,,.2p.$.pl.$.pres.,"{你们}${您}${大家}${汝等}/~${在}~{呢}${正}~${正在}~"
20,_formula_,,.2p.$.sg.$.aor.,"{你}${汝}/{曾}~$~{完了}$~{了}$~{过}${曾}~{过}"
21,_formula_,,.2p.$.sg.$.cond.,"{你若}~${如果你}~${若你}~${你如果}~"
22,_formula_,,.2p.$.sg.$.fut.,"{你}${汝}/{将}~${会}~${要}~${将要}~"
23,_formula_,,.2p.$.sg.$.imp.,"{让你}~${请你}~${你来}~${你来}~{啊}${你请}~${你可以}~${你去}~{啊}${你去}~"
24,_formula_,,.2p.$.sg.$.opt.,"{你}${汝}/{应}~${愿}~${想}~${必须}~${不得不}~${该}~${应该}~"
25,_formula_,,.2p.$.sg.$.pres.,"{你}~${你在}~{呢}${你正}~${你正在}~"
26,_formula_,,.3p.$.pl.$.aor.,"{其等}${他们}${她们}${它们}/{曾}~$~{完了}$~{了}$~{过}${曾}~{过}"
27,_formula_,,.3p.$.pl.$.cond.,"{其等}${他们}${她们}${它们}/{如果}~{若}~"
28,_formula_,,.3p.$.pl.$.fut.,"{其等}${他们}${她们}${它们}/{将}~${会}~${要}~${将要}~"
29,_formula_,,.3p.$.pl.$.imp.,"{让}${请}/{其等}~${他们}~${她们}~${它们}~"
30,_formula_,,.3p.$.pl.$.imp.,"{其等}${他们}${她们}${它们}/{来}~${来}~{啊}${请}~${可以}~${去}~{啊}${去}~"
31,_formula_,,.3p.$.pl.$.opt.,"{其等}${他们}${她们}${它们}/{应}~${愿}~${想}~${必须}~${不得不}~${该}~${应该}~"
32,_formula_,,.3p.$.pl.$.pres.,"{其等}${他们}${她们}${它们}/~${在}~{呢}${正}~${正在}~"
33,_formula_,,.3p.$.sg.$.aor.,"{其}${他}${她}${它}/{曾}~$~{完了}$~{了}$~{过}${曾}~{过}"
34,_formula_,,.3p.$.sg.$.cond.,"{其}${他}${她}${它}/{如果}~${若}~"
35,_formula_,,.3p.$.sg.$.fut.,"{其}${他}${她}${它}/{将}~${会}~${要}~${将要}~"
36,_formula_,,.3p.$.sg.$.imp.,"{让}${请}/{其}${他}${她}${它}/~${来}~${来}~{啊}${请}~${可以}~${去}~{啊}"
37,_formula_,,.3p.$.sg.$.opt.,"{其}${他}${她}${它}/{应}~${愿}~${想}~${必须}~${不得不}~${该}~${应该}~"
38,_formula_,,.3p.$.sg.$.pres.,"{其}${他}${她}${它}/~${在}~{呢}${正}~${正在}~"
39,_formula_,,*.pl.$.abl.,"{由}${从}@{而来}${从}${比}${由于}${因为}${作为}~/{诸}~$~{等}$~{们}$~{些}"
40,_formula_,,*.pl.$.acc.,"{把诸}~${把}~{等}${把}~{们}${把}~{些}${诸}~$~{等}$~{们}$~{些}"
41,_formula_,,*.pl.$.dat.,"{对于}${为了}${向}${对}/{诸}~$~{等}$~{们}$~{些}/ ${来说}"
42,_formula_,,*.pl.$.gen.,"{诸}~{的}$~{等的}$~{们的}$~{些的}$~{中的}"
43,_formula_,,*.pl.$.inst.,"{以}${通过}${跟}${被}${经过}${与}${由}/{诸}~$~{等}$~{们}$~{些}"
44,_formula_,,*.pl.$.loc.,"{在}${于}@{处}${处于}${在}@{状态}${在}@{情形下}${在}~{中的}/{诸}~$~{等}$~{们}$~{些}"
45,_formula_,,*.pl.$.nom.,"{诸}~$~{等}$~{们}$~{些}"
46,_formula_,,*.pl.$.voc.,"{诸}~$~{等}$~{们}$~{些}/{！}${啊}"
47,_formula_,,*.sg.$.abl.,"{由}~${从}~{而来}${从}~${比}~${由于}~${因为}~${作为}~"
48,_formula_,,*.sg.$.acc.,"{把}~$~"
49,_formula_,,*.sg.$.dat.,"{对于}~${对}~{来说}${为了}~${向}~${对}~"
50,_formula_,,*.sg.$.gen.,"~{的}$~{之}"
51,_formula_,,*.sg.$.inst.,"{以}~${通过}~${跟}~${被}~${经过}~${由经}~${与}~"
52,_formula_,,*.sg.$.loc.,"{在}${于}${处于}/~$~{处}$~{时}$~{情况下}$~{上的}"
53,_formula_,,*.sg.$.nom.,"~"
54,_formula_,,*.sg.$.voc.,"~{！}$~{啊}"
55,_formula_,,.abs.,"~{完之后}$~{然后}$~{之后}"
56,_formula_,,.ger.,"~{完之后}$~{然后}$~{之后}"
57,_formula_,,.inf.,"{用来}~${为了}~${来}~"
